ID,O3N2,O3N2_ERR,12_LOG_OH_O3N2,12_LOG_OH_O3N2_ERR,12_LOG_OH_O3N2_TOTAL_ERR,N2,N2_ERR,12_LOG_OH_N2,12_LOG_OH_N2_ERR,12_LOG_OH_N2_TOTAL_ERR,r_kpc,RS2,n_e,mass,age
1,2.30,0.12,8.04,0.04,0.184205,-1.55,0.11,8.02,0.07,0.174765,2.18,1.30,120.68,5.75,2.73
2,2.15,0.12,8.07,0.04,0.184103,-1.45,0.11,8.07,0.07,0.174838,2.42,1.35,70.99,5.94,3.33
3,1.66,0.06,8.18,0.03,0.181985,-1.18,0.05,8.20,0.05,0.166804,1.35,1.57,10,6.11,4.74
4,2.04,0.23,8.10,0.06,0.188630,-1.40,0.22,8.10,0.11,0.196805,2.37,1.31,110.29,5.77,2.87
5,1.69,0.18,8.17,0.05,0.185579,-1.27,0.17,8.16,0.09,0.184674,2.66,1.32,100.13,5.75,3.65
6,2.05,0.16,8.10,0.04,0.185301,-1.37,0.15,8.11,0.09,0.181342,4.19,1.32,100.13,5.50,2.99
7,1.63,0.07,8.18,0.03,0.182149,-1.20,0.07,8.19,0.05,0.168049,4.83,1.42,9.99,5.13,4.57
8,2.11,0.08,8.08,0.03,0.182948,-1.46,0.07,8.06,0.06,0.169557,3.06,1.42,9.99,5.57,4.93
9,1.83,0.12,8.14,0.04,0.183540,-1.59,0.11,8.01,0.07,0.175333,2.21,1.28,142.22,6.11,5.03
10,1.75,0.08,8.16,0.03,0.182414,-1.27,0.07,8.15,0.05,0.168861,1.72,1.69,10,6.12,5.77
11,1.60,0.09,8.19,0.03,0.182372,-1.19,0.08,8.19,0.05,0.169133,6.92,1.41,18.17,5.27,3.40
12,1.87,0.12,8.13,0.04,0.183612,-1.37,0.11,8.11,0.07,0.174153,5.85,1.42,9.99,5.04,3.88
13,1.47,0.08,8.22,0.03,0.182033,-1.20,0.07,8.19,0.05,0.167990,5.98,1.56,10,4.97,4.93
14,1.81,0.12,8.14,0.04,0.183386,-1.23,0.11,8.17,0.06,0.172668,5.16,1.48,10,5.26,3.25
15,1.80,0.19,8.15,0.05,0.186191,-1.32,0.18,8.13,0.10,0.186942,7.71,1.46,10,4.99,4.22
16,1.94,0.18,8.12,0.05,0.185831,-1.41,0.17,8.09,0.09,0.184355,7.80,1.36,61.71,4.94,4.50
17,1.53,0.13,8.21,0.03,0.183339,-1.16,0.12,8.20,0.07,0.173858,6.89,1.37,52.63,5.58,4.90
19,1.97,0.11,8.11,0.04,0.183524,-1.14,0.09,8.22,0.06,0.169766,6.02,1.44,10,4.77,4.17
20,1.23,0.16,8.27,0.04,0.184030,-1.23,0.08,8.17,0.06,0.169682,6.97,1.31,110.29,4.58,6.02