ID,O3N2,O3N2_ERR,12_LOG_OH_O3N2,12_LOG_OH_O3N2_ERR,N2,N2_ERR,12_LOG_OH_N2,12_LOG_OH_N2_ERR,r_kpc,RS2,RS2_err,n_e
1,2.30,0.12,-,,-1.55,0.11,8.02,0.07,2.18,1.30,0.03,120.68
2,2.15,0.12,-,,-1.45,0.11,8.07,0.07,2.42,1.35,0.03,70.99
3,1.66,0.06,8.18,0.03,-1.18,0.05,8.20,0.05,1.35,1.57,0.10,$<$10
4,2.04,0.23,-,,-1.40,0.22,8.10,0.11,2.37,1.31,0.03,110.29
5,1.69,0.18,8.17,0.05,-1.27,0.17,8.16,0.09,2.66,1.32,0.02,100.13
6,2.05,0.16,-,,-1.37,0.15,8.11,0.09,4.19,1.32,0.03,100.13
7,1.63,0.07,8.18,0.03,-1.20,0.07,8.19,0.05,4.83,1.42,0.05,9.99
8,2.11,0.08,-,,-1.46,0.07,8.06,0.06,3.06,1.42,0.03,9.99
9,1.83,0.12,-,,-1.59,0.11,8.01,0.07,2.21,1.28,0.05,142.22
10,1.75,0.08,-,,-1.27,0.07,8.15,0.05,1.72,1.69,0.13,$<$10
11,1.60,0.09,8.19,0.03,-1.19,0.08,8.19,0.05,6.92,1.41,0.04,18.17
12,1.87,0.12,-,,-1.37,0.11,8.11,0.07,5.85,1.42,0.05,9.99
13,1.47,0.08,8.22,0.03,-1.20,0.07,8.19,0.05,5.98,1.56,0.07,$<$10
14,1.81,0.12,-,,-1.23,0.11,8.17,0.06,5.16,1.48,0.08,$<$10
15,1.80,0.19,-,,-1.32,0.18,8.13,0.10,7.71,1.46,0.04,$<$10
16,1.94,0.18,-,,-1.41,0.17,8.09,0.09,7.80,1.36,0.07,61.71
17,1.53,0.13,8.21,0.03,-1.16,0.12,8.20,0.07,6.89,1.37,0.07,52.63
19,1.97,0.11,-,,-1.14,0.09,8.22,0.06,6.02,1.44,0.15,$<$10
20,1.23,0.16,8.27,0.04,-1.23,0.08,8.17,0.06,6.97,1.31,0.14,110.29