ID,mag_i,mag_g,Mag_i,mass,age
1,17.056,16.761,-12.012,5.75,2.73
2,17.266,17.368,-11.802,5.94,3.33
3,17.044,17.263,-12.024,6.11,4.74
4,17.256,17.101,-11.812,5.77,2.87
5,17.214,17.006,-11.854,5.75,3.65
6,17.498,17.106,-11.570,5.50,2.99
7,18.996,18.923,-10.072,5.13,4.57
8,18.047,18.058,-11.021,5.57,4.93
9,17.255,17.591,-11.813,6.11,5.03
10,17.218,17.546,-11.850,6.12,5.77
11,18.906,18.981,-10.162,5.27,3.40
12,19.321,19.309,-9.747,5.04,3.88
13,19.071,18.809,-9.997,4.97,4.93
14,20.021,20.720,-9.047,5.26,3.25
15,18.950,18.654,-10.118,4.99,4.22
16,19.429,19.335,-9.639,4.94,4.50
17,18.560,18.877,-10.508,5.58,4.90
19,20.067,20.089,-9.001,4.77,4.17
20,20.243,20.098,-8.825,4.58,6.02