ID,mag_i,mag_g,Mag_i
1,17.989,17.200,-11.0789
3,18.378,18.553,-10.6899
7,20.044,18.886,-9.0239
9,18.225,17.594,-10.8429
11,17.683,17.229,-11.3849
13,18.177,17.707,-10.8909
17,19.535,19.181,-9.5329
19,18.680,18.447,-10.3879
21_1,18.306,18.350,-10.7619
23_1,18.589,18.210,-10.4789
4,19.497,19.412,-9.5709
8,23.018,20.599,-6.0499
10,19.566,19.139,-9.5019
12,25.620,23.691,-3.4479
14,19.224,18.844,-9.8439
16,20.320,20.788,-8.7479
21_2,19.726,21.047,-9.3419
23_2,18.705,18.972,-10.3629
25,20.896,20.704,-8.1719
27,21.335,21.586,-7.7329