ID	ID_MASK	H_BETA_FLUX	H_BETA_FLUX_ERR	OIII_5007_FLUX	OIII_5007_FLUX_ERR	H_ALPHA_FLUX	H_ALPHA_FLUX_ERR	NII_6584_FLUX	NII_6584_FLUX_ERR	SII_6716_FLUX	SII_6716_FLUX_ERR	SII_6731_FLUX	SII_6731_FLUX_ERR	OI_6300_FLUX	OI_6300_FLUX_ERR	H_BETA_EQW	H_BETA_EQW_ERR	OIII_5007_EQW	OIII_5007_EQW_ERR	H_ALPHA_EQW	H_ALPHA_EQW_ERR	NII_6584_EQW	NII_6584_EQW_ERR	SII_6716_EQW	SII_6716_EQW_ERR	SII_6731_EQW	SII_6731_EQW_ERR	OI_6300_EQW	OI_6300_EQW_ERR
1	1	88.649703	2.494409	491.180987	18.17923	280.129860	2.023057	7.743517	1.981513	6.986487	0.1066009	5.370542	0.09277986			280.864117	17.149231 	1542.407674	98.436288	1962.937391	47.764972	54.260690	13.942068	52.309471	1.370111 	40.210512	1.102443		
3	3	17.124042	0.7152870	85.307068	4.093336	49.981168	0.4990741	1.743826	0.4965824	2.082050	0.02774828 	1.547268	0.02344776			233.914210	37.601231	1143.462128	152.817431	1353.391804	99.933046	47.219375	13.883154	58.220179	3.459596	43.266121	2.589861		
7	11	13.285319	0.569428	39.242761	1.641625	41.935169	0.387233	2.737472	0.365154	2.686583	0.100433	1.710856	0.082432			92.457677	7.620394	282.417175	25.943128	731.682492	25.184646	47.763263	6.565090	50.535306	2.394105	32.181641	1.811442		
9	13	31.443495	0.851705	136.057021	4.998214	90.248278	1.855688	3.666542	2.079991	3.322156	0.041067	2.542199	0.036207			273.223552	21.241819	1180.004276	214.582074	1647.440633	76.275572	66.931028	38.070655	65.184500	2.173401	49.880845	1.700162		
11	15	47.815526	1.320968	126.005902	3.462590	154.922381	3.912832	8.313916	3.293033	7.358254	0.088396	5.595892	0.075263			152.186228	9.113237	429.105419	39.159386	1197.267807	48.954887	64.251425	25.532872	61.256974	1.358503	46.585428	1.070859		
17	21	11.200002	0.338545	29.903199	0.932408	32.582814	0.354138	2.045656	0.338013	1.848934	0.037257	1.305155	0.031506			115.751648	13.274804	332.956556	26.446054	860.372503	41.742999	54.017016	9.283738	56.929337	2.325698	40.186171	1.726424		
19	23	7.826941	0.425261	33.937198	1.141636	23.027740	0.139001	0.780821	0.134871	0.775210	0.011277	0.546632	0.009688			64.997890	6.966978	303.465822	34.091048	524.328225	51.168775	17.778840	3.525542	18.597232	0.671316	13.113672	0.491633		
21	25	9.668545	0.342895	16.502650	0.731022	33.871394	0.833682	2.506446	0.678030	2.251778	0.060710	1.761569	0.053027			38.836236	4.538954	70.565292	8.040840	387.848656	21.855627	28.700375	7.898999	29.121837	1.299932	22.782049	1.061694		
#LiMe:1.0.6																													
#u_wave:Angstrom																													
#u_flux:1e-15 erg / (Angstrom s cm2)																													
#redshift:0.001568																													
#id:None																													