ID,mag_g,sigma_g,mag_i,sigma_i,E(B-V),E(B-V)_ERR,A_g,sigma_A_g,A_i,sigma_A_i,m_g0,sigma_m_g0,m_i0,sigma_m_i0,M_i,sigma_M_i,logM,sigma_logM,M_star,sigma_M_star
1,16.63697,0.0004,16.99864,0.00091,0.109,0.013,0.5105361040811199,0.060889627092243666,0.2909576373785856,0.034701369595611126,16.126433895918883,0.06089094093075335,16.707682362621416,0.03471329935069849,-11.403387752210062,0.03471329935069849,5.304481174192251,0.004570981400364488,201595.65810354563,2121.809145599107
2,17.34512,0.00063,17.25564,0.00143,0.054,0.016,0.2529261433062429,0.07494107949814606,0.14414415062792313,0.04270937796382908,17.092193856693758,0.07494372753171173,17.111495849372076,0.0427333109653021,-10.999574265459401,0.0427333109653021,5.536318311308937,0.005716827232985193,343809.8471777781,4525.734447973613
3,17.26991,0.00061,17.06005,0.00096,0.107,0.017,0.5011684691438517,0.07962489696678018,0.285618965133107,0.0453787140865684,16.768741530856147,0.07962723351322938,16.774431034866893,0.04538886749138517,-11.336639079964584,0.04538886749138517,5.680672979178311,0.0059312453186923485,479372.3485489241,6546.882626233234
4,17.06978,0.0005,17.34405,0.00129,0.044,0.013,0.20608796861990164,0.060889627092243666,0.11745078940052996,0.034701369595611126,16.8636920313801,0.060891679952457325,17.22659921059947,0.03472533875732826,-10.884470904232007,0.03472533875732826,5.249753336239244,0.004685032653299025,177726.96975887188,1917.2628052817277
5,16.91054,0.00046,17.12216,0.00109,0.126,0.016,0.5901610010479001,0.07494107949814606,0.336336351465154,0.04270937796382908,16.3203789989521,0.07494249126061561,16.785823648534848,0.04272328482288328,-11.32524646629663,0.04272328482288328,5.354287331810729,0.005617347115124819,226093.11209688583,2924.383209800863
6,16.95524,0.00044,17.23077,0.00098,0.028,0.015,0.1311468891217556,0.07025726202951192,0.07474141143670089,0.04004004184108976,16.824093110878245,0.07025863980951735,17.1560285885633,0.040052033039987105,-10.955041526268179,0.040052033039987105,5.299661776127734,0.005256978992497458,199370.90310531983,2413.313300106347
7,18.59696,0.00122,18.718,0.00337,0.054,0.013,0.2529261433062429,0.060889627092243666,0.14414415062792313,0.034701369595611126,18.344033856693756,0.06090184798043893,18.573855849372077,0.034864623213383565,-9.5372142654594,0.034864623213383565,4.804010311308936,0.005855308272198664,63681.06403109217,858.5701097780282
8,18.01461,0.00091,18.03082,0.00197,0.059,0.019,0.2763452306494136,0.08899253190404843,0.15749083124161972,0.050717386332047025,17.738264769350586,0.08899718442003138,17.873329168758378,0.050755631966847875,-10.2377409460731,0.050755631966847875,5.150551298843785,0.006886588826939572,141433.17760068268,2242.699783692851
9,17.34549,0.00059,17.10088,0.00108,0.177,0.02,0.8290356919482407,0.09367634937268257,0.47247249372485917,0.053386722454786345,16.51645430805176,0.09367820734724212,16.628407506275142,0.053397645401875055,-11.482662608556335,0.053397645401875055,5.664697804666167,0.006962592900165806,462059.3945072979,7407.718941195542
10,17.52317,0.00065,17.22296,0.00118,0.033,0.014,0.15456597646492623,0.0655734445608778,0.08808809205039747,0.037370705718350446,17.368604023535074,0.06557666606025739,17.134871907949602,0.03738933064241122,-10.976198206881875,0.03738933064241122,5.70409176366258,0.004987059712674919,505931.55082999443,5809.6774415786485
11,18.34166,0.00121,18.53453,0.0047,0.04,0.016,0.18735269874536514,0.07494107949814606,0.10677344490957269,0.04270937796382908,18.154307301254637,0.07495084720233286,18.42775655509043,0.042967208031907414,-9.683313559741048,0.042967208031907414,4.831910946211365,0.007580211910745052,67906.43735239367,1185.244590212287
12,18.91565,0.00177,19.07634,0.00749,0.057,0.015,0.2669775957121453,0.07025726202951192,0.1521521589961411,0.04004004184108976,18.648672404287854,0.0702795544086863,18.924187841003857,0.04073456825150131,-9.18688227382762,0.04073456825150131,4.631892103829847,0.009787498256835586,42844.206497905754,965.560498434269
13,18.86504,0.00171,18.9654,0.0068,0.009,0.023,0.042154357217707154,0.10772780177858494,0.024024025104653852,0.0613947308230043,18.822885642782293,0.10774137262930192,18.941375974895344,0.06177016248019066,-9.169694139936134,0.06177016248019066,4.734934423495318,0.010927162814133112,54316.830933935446,1366.6506941598109
14,20.21097,0.0046,19.77187,0.0102,0.012,0.022,0.05620580962360954,0.10304398430995082,0.032032033472871806,0.05872539470026498,20.15476419037639,0.10314660780883388,19.739837966527126,0.05960463054748272,-8.371232148304351,0.05960463054748272,4.788941216016225,0.013892469260036589,61509.36110025972,1967.5978947395654
15,18.49299,0.00119,18.76945,0.00349,0.088,0.014,0.4121759372398033,0.0655734445608778,0.2349015788010599,0.037370705718350446,18.080814062760197,0.06558424148816935,18.534548421198938,0.03753331514651418,-9.57652169363254,0.03753331514651418,4.662994626545897,0.006197640323363824,46025.087893779804,656.8053532865257
16,19.25258,0.00206,19.40364,0.00602,0.087,0.023,0.4074921197711691,0.10772780177858494,0.2322322426783206,0.0613947308230043,18.845087880228828,0.10774749591543226,19.171407757321678,0.06168916738641521,-8.9396623575098,0.06168916738641521,4.497441029038925,0.010389895387662643,31436.99521974607,752.0866721681609
17,18.85311,0.00158,18.6622,0.00314,0.016,0.028,0.07494107949814606,0.1311468891217556,0.04270937796382908,0.07474141143670089,18.778168920501855,0.13115640634873332,18.61949062203617,0.07480734043895829,-9.491579492795307,0.07480734043895829,5.057706606044102,0.010250321668666842,114210.65074416607,2695.6269464558
19,19.93286,0.00347,19.83028,0.00885,0.008,0.06,0.03747053974907303,0.2810290481180477,0.02135468898191454,0.16016016736435904,19.89538946025093,0.28105047017597384,19.808925311018083,0.1604044940460818,-8.302144803813395,0.1604044940460818,4.53138282598835,0.022863340701676855,33992.478066012176,1789.52678355846
20,19.92768,0.00358,20.07833,0.01104,0.04,0.101,0.18735269874536514,0.473065564332047,0.10677344490957269,0.26960294839667104,19.740327301254634,0.4730791102519727,19.97155655509043,0.2698288927898161,-8.139513559741047,0.2698288927898161,4.243944946211362,0.036738489044188194,17536.58183459639,1483.4807865377234
