ID,ID_MASK,RA,DEC,H_BETA_FLUX,H_BETA_FLUX_ERR,OIII_5007_FLUX,OIII_5007_FLUX_ERR,H_ALPHA_FLUX,H_ALPHA_FLUX_ERR,NII_6584_FLUX,NII_6584_FLUX_ERR,SII_6716_FLUX,SII_6716_FLUX_ERR,SII_6731_FLUX,SII_6731_FLUX_ERR,EBV,EBV_ERR
1,1_mask1,03:18:05.64,-66:30:24.69,76.52,2.16,427.05,16.03,257.49,1.86,7.16,1.89,6.45,0.10,4.96,0.09,0.11,0.01
2,3_mask1,03:18:04.38,-66:30:26.06,14.93,0.59,74.59,3.72,46.17,0.47,1.63,0.45,1.93,0.03,1.43,0.02,0.05,0.02
3,11_mask1,03:18:14.08,-66:30:34.99,11.54,0.49,34.51,1.40,38.74,0.35,2.52,0.33,2.49,0.10,1.58,0.07,0.11,0.02
4,13_mask1,03:18:20.21,-66:28:42.79,27.35,0.72,119.36,4.47,83.54,1.72,3.30,1.74,3.08,0.04,2.36,0.03,0.04,0.01
5,15_mask1,03:18:24.47,-66:28:45.81,41.37,1.18,110.08,2.77,142.62,3.54,7.63,3.14,6.80,0.08,5.18,0.07,0.13,0.02
6,17_mask1,03:18:38.02,-66:29:32.76,26.80,0.97,124.78,3.33,80.04,1.26,3.35,1.23,4.61,0.06,3.51,0.05,0.03,0.02
7,21_mask1,03:18:41.43,-66:30:07.14,9.75,0.31,26.24,0.89,30.15,0.32,1.89,0.31,1.72,0.04,1.21,0.03,0.05,0.01
8,23_mask1,03:18:30.05,-66:29:05.04,6.79,0.35,29.68,0.99,21.26,0.13,0.72,0.12,0.72,0.01,0.51,0.01,0.06,0.02
9,25_mask1,03:18:17.16,-66:28:44.19,8.35,0.28,14.36,0.65,31.09,0.72,0.79,0.21,2.08,0.06,1.63,0.05,0.18,0.02
10,27_mask1,03:18:18.68,-66:29:01.14,3.43,0.13,10.08,0.38,10.28,0.10,0.54,0.10,0.46,0.02,0.27,0.02,0.03,0.01
11,4_mask2,03:17:58.56,-66:33:06.30,10.56,0.44,26.64,1.31,32.02,0.39,2.03,0.38,2.28,0.04,1.62,0.03,0.04,0.02
12,8_mask2,03:18:02.69,-66:32:41.67,5.61,0.22,17.46,1.01,17.43,0.20,0.74,0.20,0.75,0.02,0.53,0.01,0.06,0.02
13,10_mask2,03:18:01.25,-66:32:41.09,1.57,0.10,2.89,0.13,4.56,0.05,0.29,0.05,0.40,0.01,0.25,0.01,0.01,0.02
14,12_mask2,03:18:07.79,-66:32:30.76,0.96,0.05,3.68,0.15,2.81,0.04,0.17,0.04,0.19,0.01,0.13,0.01,0.01,0.02
15,15_mask2,03:17:38.42,-66:31:25.36,5.91,0.16,17.75,0.77,19.29,0.36,0.91,0.39,1.12,0.02,0.77,0.01,0.09,0.01
16,17_mask2,03:17:39.38,-66:31:45.77,3.83,0.23,12.80,0.63,12.51,0.19,0.48,0.19,0.58,0.02,0.43,0.02,0.09,0.02
17,23_mask2,03:17:42.75,-66:31:21.99,0.95,0.07,2.17,0.11,2.78,0.06,0.19,0.05,0.29,0.01,0.21,0.01,0.02,0.03
19,27_mask2,03:17:52.96,-66:32:05.00,0.56,0.08,3.78,0.14,1.63,0.03,0.12,0.02,0.21,0.01,0.15,0.01,0.01,0.06
20,29_mask2,03:17:44.34,-66:31:45.36,0.45,0.12,0.45,0.06,1.40,0.02,0.08,0.02,0.18,0.01,0.14,0.01,0.04,0.10