ID,g_x_pix,g_y_pix,g_flux,g_flux_err,g_snr,g_mag,g_mag_err,g_mag_3sigma,g_mag_5sigma,g_frac_unmasked,i_x_pix,i_y_pix,i_flux,i_flux_err,i_snr,i_mag,i_mag_err,i_mag_3sigma,i_mag_5sigma,i_frac_unmasked
1,1153.4979961070223,797.11442360717,221.41849035532616,0.0821326245025389,2695.8652751743202,16.636965286511586,0.0004027412700317242,24.020907611478982,23.466285737438092,1.0,1153.4979961070223,797.11442360717,158.68847303697072,0.13360664731639818,1187.7288759531214,16.99863654697947,0.0009141279855529778,23.492626697997714,22.938004823956824,1.0
2,1182.369138985104,791.8878732308634,115.33233266426268,0.06742734213119779,1710.4683206977522,17.34512231005437,0.0006347596103476646,24.235106761002584,23.680484886961693,1.0,1182.369138985104,791.8878732308634,125.24068475035506,0.16489354893054994,759.5244663155627,17.255636416385656,0.0014294947074253094,23.264187700115443,22.709565826074552,1.0
3,960.9458382388873,757.7227500928198,123.60448398694419,0.0689238934164831,1793.3473844845837,17.26991443526477,0.000605424366830175,24.211272357775105,23.656650483734214,1.0,960.9458382388873,757.7227500928198,149.96181937844233,0.13255866266105365,1131.2864536200682,17.06004824809313,0.000959735884120083,23.501176578238095,22.946554704197204,1.0
4,820.4729937220225,1185.8415759621298,148.6241868889014,0.06871930780846044,2162.771885059695,17.06977627089325,0.0005020114290639403,24.21449992242344,23.65987804838255,1.0,820.4729937220225,1185.8415759621298,115.44661057935691,0.1374283079851173,840.0497122605856,17.344047032750304,0.0012924666110966196,23.462006364444022,22.907384490403132,1.0
5,723.2216473077251,1174.1941646692221,172.10124637623701,0.07330136219716417,2347.858773938244,16.9105399611311,0.00046243676017060457,24.14441674961253,23.58979487557164,1.0,723.2216473077251,1174.1941646692221,141.6242508596915,0.14229828045590331,995.263262535202,17.122155935952215,0.001090903528371447,23.424197733036245,22.869575858995354,1.0
6,414.01811727286247,994.428026880865,165.16006614830474,0.06757887692841928,2443.959912551449,16.955237379644736,0.00044425286977176347,24.232669437953867,23.678047563912976,1.0,414.01811727286247,994.428026880865,128.14263817779502,0.11555452135471794,1108.9366013159738,17.23076584768683,0.000979078698881151,23.650229505733797,23.095607631692904,1.0
7,336.47714703917836,863.0200694949007,36.409694927602715,0.04095639290710925,888.986855121284,18.59695739987839,0.0012213186263704688,24.776392611538242,24.22177073749735,1.0,336.47714703917836,863.0200694949007,32.56856444440446,0.10095008315437369,322.6204815958432,18.71800345956062,0.0033653666357062384,23.796930160661166,23.242308286620272,1.0
8,595.9499384903314,1100.5974409553944,62.25255982794572,0.05211080141114131,1194.6191219894788,18.01460696414305,0.0009088555379475098,24.514877482636653,23.960255608595762,1.0,595.9499384903314,1100.5974409553944,61.330142550124236,0.1112866006615704,551.1008709542049,18.030815064693286,0.0019701224621152,23.691089671345605,23.136467797304714,1.0
9,890.3493818025701,1180.5677302744834,115.29304752254686,0.062117594039107715,1856.0449628805839,17.345492202570522,0.0005849730079130548,24.324160297868563,23.769538423827672,1.0,890.3493818025701,1180.5677302744834,144.42639596760088,0.14324954179634758,1008.2154131629013,17.100883565125088,0.00107688911574168,23.416963759475504,22.862341885434613,1.0
10,855.4786372946971,1115.8400414823736,97.88819823401633,0.058301573926701815,1678.9975234130695,17.52317416300498,0.0006466574188573207,24.392996165048814,23.838374291007923,1.0,855.4786372946971,1115.8400414823736,129.06744507521196,0.1401229663323551,921.1012901987762,17.22295821709005,0.0011787370361014526,23.44092355685688,22.88630168281599,1.0
11,1314.802769195626,180.26464818247564,46.0614755047638,0.0511754110952228,900.0704541299448,18.341655385571606,0.0012062791304572472,24.534543513043786,23.979921639002896,1.0,1314.802769195626,180.26464818247564,38.564378656226694,0.16688141531174877,231.08851626279136,18.53453415383973,0.004698356380130296,23.251176927388936,22.696555053348046,1.0
12,1220.7663383949098,274.2918243698592,27.148091263100174,0.044154789037100496,614.8391115692873,18.915651748801416,0.0017658866918647156,24.69475232786808,24.14013045382719,1.0,1220.7663383949098,274.2918243698592,23.41330782995876,0.1615094199991186,144.96558671368228,19.076343062211453,0.007489613427375273,23.286702219376235,22.732080345335344,1.0
13,1253.6497786216748,276.5017011766514,28.443593855686835,0.04465936178907296,636.9010374583158,18.865038828128693,0.0017047172808682843,24.68241558211825,24.12779370807736,1.0,1253.6497786216748,276.5017011766514,25.932295317962407,0.16241792273132277,159.66400063409557,18.96539760319736,0.006800131528999624,23.28061198391467,22.72599010987378,1.0
14,1104.5590920062814,315.92136891244184,8.234041864398757,0.03487415360568064,236.10728901123827,20.210967323115838,0.004598486600328761,24.950937672951405,24.396315798910514,1.0,1104.5590920062814,315.92136891244184,12.33824962396861,0.1159081635987599,106.44849543712913,19.77186611870079,0.010199638804659194,23.646911800448095,23.092289926407204,1.0
15,1774.3680058902037,565.0649315684312,40.06865527313523,0.04396167477755455,911.4451502560368,18.4929880812315,0.0011912249513348467,24.69951129049216,24.14488941645127,1.0,1774.3680058902037,565.0649315684312,31.061371010290074,0.09984182079018535,311.1058148224744,18.769448447415076,0.0034899257841827245,23.808915631876214,23.25429375783532,1.0
16,1752.2323764151652,487.20068716470877,19.905220323511102,0.037695363343499357,528.054873543056,19.25258252752129,0.002056104884466333,24.8664770286792,24.31185515463831,1.0,1752.2323764151652,487.20068716470877,17.319803891235665,0.09595417184288217,180.50079072742722,19.40364257430655,0.00601513267827004,23.85203720945239,23.2974153354115,1.0
17,1675.6299617355369,578.0799965944068,28.757925538119004,0.04175945011693372,688.6567102198858,18.853106112816192,0.0015766000514413885,24.755309934955854,24.20068806091496,1.0,1675.6299617355369,578.0799965944068,34.286289672664395,0.09917390858841343,345.7188504585176,18.662198774954916,0.0031405178031748823,23.816203288826365,23.261581414785475,1.0
19,1443.6427048717126,414.165586161606,10.637938392446813,0.03401885799099845,312.7070989643939,19.932856322850654,0.0034720548665310466,24.977897537432483,24.42327566339159,1.0,1443.6427048717126,414.165586161606,11.691930675777876,0.09533339254083964,122.64255329809225,19.830284420854152,0.008852850626153902,23.859084242872708,23.304462368831818,1.0
20,1639.135454005669,488.93054579225617,10.68873495380351,0.03523846971983287,303.3257414066335,19.927684229750035,0.0035794397129738135,24.939654262450603,24.385032388409712,1.0,1639.135454005669,488.93054579225617,9.303998139008643,0.09457352826242547,98.37846075903639,20.078325962868615,0.01103632031220209,23.86777288420432,23.313151010163427,1.0
